date,Rainfall amount (millimetres),Minimum temperature (Degree C),Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m),Total_Pedestrian_Count_per_day
2016-01-01 00:00:00,0.0,19.8,24.2,22.0,518947
2016-01-02 00:00:00,0.0,17.1,27.6,25.1,509571
2016-01-03 00:00:00,0.0,17.5,27.1,25.7,451123
2016-01-04 00:00:00,0.0,16.3,26.0,15.3,547916
2016-01-05 00:00:00,0.0,17.1,25.7,25.8,592005
2016-01-06 00:00:00,0.0,17.3,25.7,18.1,621087
2016-01-07 00:00:00,0.0,16.3,21.3,30.4,631680
2016-01-08 00:00:00,0.0,16.2,20.6,25.4,655083
2016-01-09 00:00:00,0.0,16.8,21.4,21.3,559456
2016-01-10 00:00:00,0.0,15.7,31.5,31.3,443611
2016-01-11 00:00:00,0.0,17.2,36.4,15.8,545443
2016-01-12 00:00:00,1.0,17.1,24.8,29.1,634227
2016-01-13 00:00:00,0.0,16.8,42.2,25.0,526676
2016-01-14 00:00:00,0.0,16.1,18.1,3.9,612574
2016-01-15 00:00:00,1.0,13.6,19.2,19.7,724970
2016-01-16 00:00:00,0.0,11.9,22.3,32.6,589346
2016-01-17 00:00:00,0.0,14.9,32.7,31.5,550697
2016-01-18 00:00:00,0.0,18.6,35.3,30.4,629602
2016-01-19 00:00:00,0.0,17.9,30.9,27.2,653133
2016-01-20 00:00:00,1.4,19.3,29.1,18.6,698114
2016-01-21 00:00:00,0.4,19.0,26.7,14.9,720653
2016-01-22 00:00:00,1.0,17.5,22.8,6.5,702372
2016-01-23 00:00:00,12.0,17.3,21.9,23.2,613211
2016-01-24 00:00:00,5.6,16.2,22.2,23.4,560510
2016-01-25 00:00:00,0.4,16.7,20.9,25.7,675173
2016-01-26 00:00:00,0.0,16.5,29.4,28.7,705826
2016-01-27 00:00:00,0.0,19.3,29.5,22.2,627095
2016-01-28 00:00:00,5.6,20.3,27.5,19.0,632468
2016-01-29 00:00:00,13.0,14.4,18.3,14.3,680938
2016-01-30 00:00:00,1.2,12.3,22.4,24.0,594194
2016-01-31 00:00:00,10.8,13.9,21.8,26.3,494393
2016-02-01 00:00:00,0.0,12.5,23.6,29.4,625500
2016-02-02 00:00:00,0.0,15.4,31.5,25.5,605189
2016-02-03 00:00:00,1.2,18.1,21.0,11.0,601768
2016-02-04 00:00:00,2.8,17.3,20.9,21.7,662164
2016-02-05 00:00:00,0.0,15.3,29.4,29.0,735889
2016-02-06 00:00:00,0.0,16.5,32.6,28.8,648512
2016-02-07 00:00:00,0.0,19.1,27.7,28.5,543115
2016-02-08 00:00:00,0.0,19.2,22.9,23.3,665405
2016-02-09 00:00:00,0.0,17.4,22.7,27.7,664340
2016-02-10 00:00:00,0.0,17.4,23.3,25.3,686251
2016-02-11 00:00:00,0.0,18.0,23.8,27.6,698865
2016-02-12 00:00:00,0.0,16.7,24.9,27.9,790800
2016-02-13 00:00:00,0.0,17.7,30.3,23.4,669691
2016-02-14 00:00:00,0.0,16.4,24.5,22.9,682517
2016-02-15 00:00:00,0.0,14.0,26.1,25.4,659351
2016-02-16 00:00:00,2.6,13.7,18.4,14.5,640697
2016-02-17 00:00:00,2.2,12.7,21.1,16.2,682152
2016-02-18 00:00:00,2.2,15.5,22.6,20.6,707372
2016-02-19 00:00:00,2.2,15.8,22.0,11.2,736845
2016-02-20 00:00:00,0.0,15.8,20.8,23.8,885831
2016-02-21 00:00:00,0.0,12.6,24.7,26.5,721722
2016-02-22 00:00:00,0.0,15.6,29.5,8.4,633825
2016-02-23 00:00:00,0.0,18.1,39.4,19.4,625435
2016-02-24 00:00:00,0.0,22.4,25.6,15.8,670560
2016-02-25 00:00:00,0.4,19.6,26.4,13.8,691181
2016-02-26 00:00:00,0.0,15.5,23.5,19.3,770028
2016-02-27 00:00:00,0.0,17.7,22.2,17.7,641641
