,Date,day,monthly_index,Public_Holiday,Rainfall amount (millimetres),Minimum temperature (Degree C),Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m),Total_Pedestrian_Count_per_day
292,2015-10-20,2,10,Not a public holiday,0.0,12.9,31.8,14.4,568350
293,2015-10-21,3,10,Not a public holiday,8.8,17.6,18.3,7.3,538916
294,2015-10-22,4,10,Not a public holiday,8.8,11.4,16.7,8.5,572714
295,2015-10-23,5,10,Not a public holiday,0.0,11.8,16.4,21.0,682460
296,2015-10-24,6,10,Not a public holiday,0.0,9.2,19.5,25.1,543271
297,2015-10-25,7,10,Not a public holiday,0.0,10.2,31.3,20.1,467092
298,2015-10-26,1,10,Not a public holiday,0.6,14.0,15.9,14.5,508264
299,2015-10-27,2,10,Not a public holiday,0.4,10.4,23.3,28.1,583522
300,2015-10-28,3,10,Not a public holiday,0.0,10.1,26.8,27.6,583618
301,2015-10-29,4,10,Not a public holiday,0.0,13.7,26.1,26.8,610892
302,2015-10-30,5,10,Not a public holiday,0.0,12.6,27.4,22.6,698115
303,2015-10-31,6,10,Not a public holiday,0.0,15.7,25.9,13.5,480908
304,2015-11-01,7,11,Public Holiday,4.8,16.4,26.0,10.0,446762
305,2015-11-02,1,11,Not a public holiday,0.0,14.5,16.0,8.2,597289
306,2015-11-03,2,11,Not a public holiday,0.6,8.0,17.9,25.4,395150
307,2015-11-04,3,11,Not a public holiday,0.0,10.9,27.2,19.6,573447
308,2015-11-05,4,11,Not a public holiday,11.4,16.2,24.7,16.4,533293
309,2015-11-06,5,11,Not a public holiday,18.6,16.6,18.7,3.7,611397
310,2015-11-07,6,11,Not a public holiday,2.4,11.9,16.8,25.2,545573
311,2015-11-08,7,11,Not a public holiday,0.0,8.5,24.8,25.1,465766
312,2015-11-09,1,11,Not a public holiday,0.0,13.6,33.1,26.4,550326
313,2015-11-10,2,11,Not a public holiday,0.0,15.2,16.4,5.3,592849
314,2015-11-11,3,11,Not a public holiday,2.8,11.5,20.1,16.0,640890
315,2015-11-12,4,11,Not a public holiday,0.0,13.7,21.2,19.2,688901
316,2015-11-13,5,11,Not a public holiday,0.4,13.5,18.2,26.1,767005
317,2015-11-14,6,11,Not a public holiday,0.2,12.1,18.3,27.5,597169
318,2015-11-15,7,11,Not a public holiday,0.2,13.0,18.5,27.6,540609
319,2015-11-16,1,11,Not a public holiday,0.0,11.4,26.3,29.4,652123
320,2015-11-17,2,11,Not a public holiday,0.0,15.7,33.3,24.0,649510
321,2015-11-18,3,11,Not a public holiday,0.0,14.7,29.5,29.2,686578
