Description,Category,Subcategory,Year,Percentage
neighbourhoodNight,AgeRange,45-54 years,2018,67.5
neighbourhoodNight,AgeRange,55-64 years,2018,75.5
neighbourhoodNight,AgeRange,65+ years,2018,69.7
transportNight,Suburb,Carlton 3053,2018,89.8
transportNight,Suburb,North Melbourne 3051 / West Melbourne 3003,2018,81.1
transportNight,Suburb,Parkville 3052,2018,90.3
transportNight,AgeRange,35-44 years,2018,82.0
transportNight,AgeRange,45-54 years,2018,87.0
transportNight,AgeRange,55-64 years,2018,88.2
transportDay,Suburb,Carlton 3053,2018,53.8
transportDay,Suburb,North Melbourne 3051 / West Melbourne 3003,2018,60.8
transportDay,Suburb,Parkville 3052,2018,51.1
transportDay,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2018,61.9
transportDay,Gender,Male,2018,68.0
transportDay,Gender,Female,2018,50.5
transportDay,AgeRange,55-64 years,2018,74.8
neighbourhoodDay,Gender,Female,2018,88.2
neighbourhoodDay,AgeRange,35-44 years,2018,91.4
neighbourhoodDay,AgeRange,45-54 years,2018,89.8
neighbourhoodDay,AgeRange,55-64 years,2018,88.7
neighbourhoodNight,Suburb,North Melbourne 3051 / West Melbourne 3003,2018,66.1
neighbourhoodNight,AgeRange,35-44 years,2018,66.8
transportNight,Suburb,Kensington / Flemington 3031,2018,86.3
transportNight,Suburb,Melbourne 3000,2018,87.3
transportNight,Suburb,South Wharf / Southbank 3006,2018,92.0
transportNight,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2018,83.2
transportNight,Gender,Female,2018,88.0
transportDay,Suburb,City of Melbourne,2018,59.0
transportDay,Suburb,East Melbourne 3002,2018,51.8
transportDay,Suburb,Melbourne 3000,2018,62.7
transportDay,Suburb,South Wharf / Southbank 3006,2018,57.9
transportDay,AgeRange,18-24 years,2018,53.1
transportDay,AgeRange,25-34 years,2018,60.6
neighbourhoodDay,Suburb,City of Melbourne,2018,89.0
neighbourhoodDay,Suburb,Carlton 3053,2018,86.0
