stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
"13742","Altona Station","-37.86715283","144.82943997","","Parentvic:rail:ALT","1"
"13743","Seaholme Station","-37.86782554","144.84102642","","Parentvic:rail:SHE","1"
"13744","Westgarth Station","-37.78057836","144.99939329","","Parentvic:rail:WTG","1"
"13745","Westgarth Station","-37.78052277","144.99930395","","Parentvic:rail:WTG","2"
"13746","Dennis Station","-37.77924153","145.00825153","","Parentvic:rail:DEN","1"
"13747","Dennis Station","-37.77914244","145.00825419","","Parentvic:rail:DEN","2"
"13748","Fairfield Station","-37.77923565","145.01698306","","Parentvic:rail:FFD","1"
"13749","Fairfield Station","-37.77912794","145.01700865","","Parentvic:rail:FFD","2"
"13750","Alphington Station","-37.77844825","145.03128755","","Parentvic:rail:ALP","1"
"13751","Alphington Station","-37.77835741","145.03124454","","Parentvic:rail:ALP","2"
"13752","Darebin Station","-37.77491182","145.03862494","","Parentvic:rail:DBN","1"
"13753","Darebin Station","-37.77484687","145.03851312","","Parentvic:rail:DBN","2"
"13754","Ivanhoe Station","-37.76895098","145.04543511","","Parentvic:rail:IVA","1"
"13755","Ivanhoe Station","-37.76884251","145.04541526","","Parentvic:rail:IVA","2"
"13756","Eaglemont Station","-37.76372873","145.05388218","","Parentvic:rail:EAG","1"
"13757","Eaglemont Station","-37.76366417","145.05379306","","Parentvic:rail:EAG","2"
"13758","Heidelberg Station","-37.75712960","145.06084296","","Parentvic:rail:HDB","1"
"13759","Heidelberg Station","-37.75709244","145.06077582","","Parentvic:rail:HDB","2"
"13760","Rosanna Station","-37.74315182","145.06631476","","Parentvic:rail:ROS","1"
"14232","Highett Station","-37.94800686","145.04165530","","Parentvic:rail:HIG","2"
"14233","Moorabbin Station","-37.93468486","145.03662706","","Parentvic:rail:MRN","1"
"14234","Moorabbin Station","-37.93457772","145.03668680","","Parentvic:rail:MRN","2"
"14235","Moorabbin Station","-37.93454397","145.03682424","","Parentvic:rail:MRN","3"
"14236","Patterson Station","-37.92487071","145.03552294","","Parentvic:rail:PAT","1"
"14237","Patterson Station","-37.92487147","145.03556843","","Parentvic:rail:PAT","2"
"14238","Patterson Station","-37.92490039","145.03568143","","Parentvic:rail:PAT","3"
"14239","Bentleigh Station","-37.91709091","145.03698125","","Parentvic:rail:BEN","1"
"14240","Bentleigh Station","-37.91710086","145.03703787","","Parentvic:rail:BEN","2"
"14241","Bentleigh Station","-37.91710314","145.03717431","","Parentvic:rail:BEN","3"
"14242","McKinnon Station","-37.91147568","145.03800637","","Parentvic:rail:MCK","1"
"14243","McKinnon Station","-37.91147644","145.03805184","","Parentvic:rail:MCK","2"
"14244","McKinnon Station","-37.91145169","145.03818900","","Parentvic:rail:MCK","3"
"14245","Ormond Station","-37.90418992","145.03937136","","Parentvic:rail:OMD","1"
"14246","Ormond Station","-37.90419086","145.03942820","","Parentvic:rail:OMD","2"
"14247","Ormond Station","-37.90420196","145.03955302","","Parentvic:rail:OMD","3"
"14248","Glen Huntly Station","-37.89018352","145.04194902","","Parentvic:rail:GHY","1"
"14249","Glen Huntly Station","-37.89019479","145.04208518","","Parentvic:rail:GHY","2"
"14250","Glen Huntly Station","-37.88940627","145.04235623","","Parentvic:rail:GHY","3"
"14251","Caulfield Station","-37.87737007","145.04202690","","Parentvic:rail:CFD","1"
"14252","Caulfield Station","-37.87752308","145.04255720","","Parentvic:rail:CFD","2"
"14253","Caulfield Station","-37.87744220","145.04257072","","Parentvic:rail:CFD","3"
"14254","Caulfield Station","-37.87712353","145.04237450","","Parentvic:rail:CFD","4"
"14255","Malvern Station","-37.86643326","145.02927778","","Parentvic:rail:MAL","1"
"14256","Malvern Station","-37.86636291","145.02938196","","Parentvic:rail:MAL","2"
"14257","Malvern Station","-37.86633703","145.02945085","","Parentvic:rail:MAL","3"
"14258","Malvern Station","-37.86625748","145.02954391","","Parentvic:rail:MAL","4"
"14259","Armadale Station","-37.85624829","145.01897865","","Parentvic:rail:ARM","1"
"14260","Armadale Station","-37.85620554","145.01911619","","Parentvic:rail:ARM","2"
"14263","Toorak Station","-37.85083188","145.01361153","","Parentvic:rail:TOR","1"
"14264","Toorak Station","-37.85073394","145.01368235","","Parentvic:rail:TOR","2"
"14267","Hawksburn Station","-37.84472941","145.00180876","","Parentvic:rail:HKN","1"
"14268","Hawksburn Station","-37.84463109","145.00185687","","Parentvic:rail:HKN","2"
"14271","Sandringham Station","-37.95017551","145.00447450","","Parentvic:rail:SHM","1"
"14272","Hampton Station","-37.93819338","145.00148746","","Parentvic:rail:HAM","1"
"14273","Hampton Station","-37.93812306","145.00159177","","Parentvic:rail:HAM","2"
"14275","Brighton Beach Station","-37.92635018","144.98921409","","Parentvic:rail:BBH","2"
"14276","Brighton Beach Station","-37.92645179","144.98935922","","Parentvic:rail:BBH","3"
"14277","Middle Brighton Station","-37.91475309","144.99666206","","Parentvic:rail:MBN","1"
"14278","Middle Brighton Station","-37.91480907","144.99677429","","Parentvic:rail:MBN","2"
"14279","North Brighton Station","-37.90459859","145.00259009","","Parentvic:rail:NBN","1"
"14280","North Brighton Station","-37.90470861","145.00270085","","Parentvic:rail:NBN","2"
"14281","Gardenvale Station","-37.89662205","145.00411355","","Parentvic:rail:GVE","1"
"14282","Gardenvale Station","-37.89665119","145.00423785","","Parentvic:rail:GVE","2"
"14283","Elsternwick Station","-37.88524454","145.00118021","","Parentvic:rail:ELS","1"
"14284","Elsternwick Station","-37.88522710","145.00121480","","Parentvic:rail:ELS","2"
"14285","Ripponlea Station","-37.87582304","144.99510239","","Parentvic:rail:RIP","1"
"14286","Ripponlea Station","-37.87579814","144.99522813","","Parentvic:rail:RIP","2"
"14287","Balaclava Station","-37.86965064","144.99355315","","Parentvic:rail:BCV","2"
"14288","Balaclava Station","-37.86960366","144.99344075","","Parentvic:rail:BCV","1"
"14289","Windsor Station","-37.85605095","144.99191020","","Parentvic:rail:WIN","1"
"14290","Windsor Station","-37.85579641","144.99178072","","Parentvic:rail:WIN","2"
"14291","Prahran Station","-37.84970629","144.98977527","","Parentvic:rail:PRA","1"
"14292","Prahran Station","-37.84970842","144.98990023","","Parentvic:rail:PRA","2"
"14293","South Yarra Station","-37.83791500","144.99218626","","Parentvic:rail:SYR","1"
"14294","South Yarra Station","-37.83806086","144.99228457","","Parentvic:rail:SYR","2"
"14295","South Yarra Station","-37.83801660","144.99233122","","Parentvic:rail:SYR","3"
"14296","South Yarra Station","-37.83799170","144.99245689","","Parentvic:rail:SYR","4"
"14297","South Yarra Station","-37.83793843","144.99250379","","Parentvic:rail:SYR","5"
"14298","South Yarra Station","-37.83796759","144.99262799","","Parentvic:rail:SYR","6"
"14299","Upfield Station","-37.66558921","144.94662870","","Parentvic:rail:UFD","1"
"14300","Gowrie Station","-37.70107512","144.95890880","","Parentvic:rail:GOW","1"
"14301","Gowrie Station","-37.70106513","144.95885236","","Parentvic:rail:GOW","2"
"14302","Fawkner Station","-37.71512768","144.96064458","","Parentvic:rail:FAK","1"
"14303","Fawkner Station","-37.71508929","144.96050950","","Parentvic:rail:FAK","2"
"14304","Merlynston Station","-37.72148512","144.96140054","","Parentvic:rail:MYN","1"
"14305","Merlynston Station","-37.72149334","144.96135493","","Parentvic:rail:MYN","2"
"14306","Batman Station","-37.73289075","144.96276710","","Parentvic:rail:BAT","1"
"14307","Batman Station","-37.73289897","144.96272149","","Parentvic:rail:BAT","2"
"14308","Coburg Station","-37.74236382","144.96338122","","Parentvic:rail:COB","1"
"14309","Coburg Station","-37.74234286","144.96321156","","Parentvic:rail:COB","2"
"14310","Moreland Station","-37.75409928","144.96193577","","Parentvic:rail:MLD","1"
"14311","Moreland Station","-37.75408733","144.96176584","","Parentvic:rail:MLD","2"
"14312","Anstey Station","-37.76131507","144.96073879","","Parentvic:rail:ASY","1"
"14313","Anstey Station","-37.76128589","144.96061473","","Parentvic:rail:ASY","2"
"14314","Brunswick Station","-37.76774875","144.95965388","","Parentvic:rail:BWK","1"
"14315","Brunswick Station","-37.76768373","144.95954214","","Parentvic:rail:BWK","2"
"14316","Jewell Station","-37.77497038","144.95879684","","Parentvic:rail:JWL","1"
"14317","Jewell Station","-37.77489616","144.95867400","","Parentvic:rail:JWL","2"
"14318","Royal Park Station","-37.78123856","144.95233407","","Parentvic:rail:RPK","1"
"14319","Royal Park Station","-37.78113908","144.95231411","","Parentvic:rail:RPK","2"
"14320","Flemington Bridge Station","-37.78827327","144.93921738","","Parentvic:rail:FBD","1"
"14321","Flemington Bridge Station","-37.78812114","144.93927838","","Parentvic:rail:FBD","2"
"14322","Macaulay Station","-37.79432177","144.93622158","","Parentvic:rail:MAC","1"
"14323","Macaulay Station","-37.79427455","144.93609797","","Parentvic:rail:MAC","2"
"14324","North Melbourne Station","-37.80706074","144.94219354","","Parentvic:rail:NME","1"
"14325","North Melbourne Station","-37.80716764","144.94212242","","Parentvic:rail:NME","2"
"14326","North Melbourne Station","-37.80716665","144.94206565","","Parentvic:rail:NME","3"
"14327","North Melbourne Station","-37.80721910","144.94197333","","Parentvic:rail:NME","4"
"14328","North Melbourne Station","-37.80740084","144.94205915","","Parentvic:rail:NME","5"
"14329","North Melbourne Station","-37.80737985","144.94188936","","Parentvic:rail:NME","6"
"14330","Clifton Hill Station","-37.78890143","144.99545553","","Parentvic:rail:CHL","1"
"14331","Clifton Hill Station","-37.78880865","144.99529906","","Parentvic:rail:CHL","2"
"14332","Victoria Park Station","-37.79908654","144.99449878","","Parentvic:rail:VPK","1"
"14333","Victoria Park Station","-37.79915628","144.99436061","","Parentvic:rail:VPK","2"
"14334","Collingwood Station","-37.80439905","144.99370767","","Parentvic:rail:CWD","2"
