Education_Sector,Entity_Type,SCHOOL_NO,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,LGA_ID,LGA_Name,X,Y
Government,1,3941,Coburg West Primary School,Primary,O,185-187 Reynard Street,,Coburg,VIC,3058,185-187 REYNARD STREET,,COBURG,VIC,3058,03 9386 1286,525,Moreland (C),144.947624,-37.74715
Government,1,3942,Elwood Primary School,Primary,O,Scott Street,,Elwood,VIC,3184,Scott Street,,ELWOOD,VIC,3184,03 9531 2762,590,Port Phillip (C),144.988364,-37.881505
Government,1,3943,Mont Albert Primary School,Primary,O,Barloa Road,,Mont Albert,VIC,3127,Barloa Road,,MONT ALBERT,VIC,3127,03 9890 1331,698,Whitehorse (C),145.102727,-37.813079
Government,1,3944,Dhurringile Primary School,Primary,O,605 Langham Road,,Dhurringile,VIC,3610,605 Langham Road,,DHURRINGILE,VIC,3610,03 5826 6222,283,Greater Shepparton (C),145.239786,-36.543203
Government,1,3947,Strathewen Primary School,Primary,O,5 School Ridge Road,,Strathewen,VIC,3099,5 School Ridge Road,,Strathewen,VIC,3099,03 9714 8278,571,Nillumbik (S),145.270094,-37.547579
Government,1,3956,Don Valley Primary School,Primary,O,Old Dalry Road,,Don Valley,VIC,3139,Old Dalry Road,,DON VALLEY,VIC,3139,03 5967 3321,745,Yarra Ranges (S),145.5874128,-37.76019989
Government,1,3960,Reservoir Primary School,Primary,O,Duffy Street,,Reservoir,VIC,3073,P O Box 69,,RESERVOIR,VIC,3073,03 9460 5798,189,Darebin (C),145.00677,-37.71142
Government,1,3967,Yallourn North Primary School,Primary,O,2A Reserve Street,,Yallourn North,VIC,3825,2A Reserve Street,,YALLOURN NORTH,VIC,3825,03 5115 8500,381,Latrobe (C),146.362224,-38.163208
Government,1,3968,Toorloo Arm Primary School,Primary,O,315 Lake Tyers Beach Road,,Lake Tyers Beach,VIC,3909,315 Lake Tyers Beach Road,,LAKES ENTRANCE,VIC,3909,03 5156 5517,211,East Gippsland (S),148.05097,-37.852539
Government,1,3971,Girgarre Primary School,Primary,O,528 Winter Road,,Girgarre,VIC,3624,P O Box 75,,GIRGARRE,VIC,3624,03 5854 6275,137,Campaspe (S),144.973758,-36.398106
Government,1,3976,Yaapeet Primary School,Primary,O,4 Woods Street,,Yaapeet,VIC,3424,P O Box 32,,YAAPEET,VIC,3424,03 5395 7260,763,Yarriambiack (S),142.057154,-35.768504
Government,1,3982,Gladysdale Primary School,Primary,O,550 Little Yarra Road,,Gladysdale,VIC,3797,550 Little Yarra Road,,GLADYSDALE,VIC,3797,03 5966 6202,745,Yarra Ranges (S),145.6509863,-37.82025309
Government,1,3983,Mildura West Primary School,Primary,O,219-227  Ninth Street,,Mildura,VIC,3500,219-227  Ninth Street,,MILDURA,VIC,3500,03 5023 1336,478,Mildura (RC),142.152392,-34.179726
Government,1,3987,Moonee Ponds Primary School,Primary,O,87 Wilson Street,,Moonee Ponds,VIC,3039,87 Wilson Street,,Moonee Ponds,VIC,3039,03 9375 2511,506,Moonee Valley (C),144.932986,-37.763341
Government,1,3988,Kingsville Primary School,Primary,O,58 Bishop Street,,Yarraville,VIC,3013,58 Bishop Street,,YARRAVILLE,VIC,3013,03 9314 5869,433,Maribyrnong (C),144.874657,-37.812595
Government,1,3993,Kallista Primary School,Primary,O,72 Monbulk Road,,Kallista,VIC,3791,P O Box 23A,,Kallista,VIC,3791,03 9755 2633,745,Yarra Ranges (S),145.370004,-37.885086
Government,1,4015,Essendon North Primary School,Primary,O,112 Keilor Road,,Essendon North,VIC,3041,112 Keilor Road,,Essendon North,VIC,3041,03 9379 3979,506,Moonee Valley (C),144.903193,-37.741516
Government,1,4025,Ascot Vale West Primary School,Primary,O,Langs Rd,,Ascot Vale,VIC,3032,P O Box 154,,Ascot Vale,VIC,3032,03 9370 8784,506,Moonee Valley (C),144.911125,-37.78068
Government,1,4055,Hartwell Primary School,Primary,O,Milverton St,,Camberwell,VIC,3124,Milverton St,,CAMBERWELL,VIC,3124,03 9889 4012,111,Boroondara (C),145.084466,-37.848051
Government,1,4057,Red Cliffs Primary School,Primary,O,Murray Avenue,,Red Cliffs,VIC,3496,PO Box 306,,RED CLIFFS,VIC,3496,03 5024 1044,478,Mildura (RC),142.185312,-34.311566
