School_Name,School_Type,LGA_Name,nearest_stop_name,nearest_stop_distance_m
Glen Huntly Primary School,Primary,Glen Eira (C),Glen Huntly Rail Replacement Bus Stop,376.1120803695958
Wantirna Primary School,Primary,Knox (C),Wantirna Primary School/Mountain Hwy,43.861235770821835
Melton South Primary School,Primary,Melton (C),Wilson Rd/Exford Rd,104.89167156265874
Chelsea Primary School,Primary,Kingston (C),Chelsea Primary School/Argyle Ave,38.63655767507315
Hampton Primary School,Primary,Bayside (C),Hampton PS/Ludstone St,39.87154109163092
Victorian College For The Deaf,Special,Melbourne (C),High St/St Kilda Rd #27,154.51709252906934
Balliang East Primary School,Primary,Moorabool (S),Eighth Mews/Tilley Dr ,11114.245705467782
Edithvale Primary School,Primary,Kingston (C),Montrose Ave/Edithvale Rd,142.50912176158968
Penders Grove Primary School,Primary,Darebin (C),Pender St/Victoria Rd,69.95576858762261
Caulfield Junior College,Primary,Glen Eira (C),Caulfield Junior College/Balaclava Rd #47,39.93391858627243
Seaford Primary School,Primary,Frankston (C),Seaford Station/Railway Pde,168.45716547913975
Wattle Park Primary School,Primary,Whitehorse (C),Wattle Park PS/Thomas St,84.89912260552929
Preston West Primary School,Primary,Darebin (C),Fettling St/Murray Rd,97.59357067498628
Thornbury Primary School,Primary,Darebin (C),Decision point 2,141.39974514601388
Footscray West Primary School,Primary,Maribyrnong (C),Argyle St/Essex St,170.40198234916394
Wandin North Primary School,Primary,Yarra Ranges (S),Wandin North PS/Warburton Hwy,119.0500857935539
Gardenvale Primary School,Primary,Bayside (C),Alexander St/Hawthorn Rd,316.727389973562
Beaumaris Primary School,Primary,Bayside (C),Beaumaris Concourse SC/Reserve Rd,409.56264342169885
Altona Primary School,Primary,Hobsons Bay (C),Altona PS/Blyth St,36.53570635840667
Devon Meadows Primary School,Primary,Casey (C),Cross Rd/Finsbury Rd,421.30441128992146
Upper Ferntree Gully Primary School,Primary,Knox (C),Upper Ferntree Gully PS/Talaskia Rd,45.750939195139814
Bittern Primary School,Primary,Mornington Peninsula (S),Bittern Station/Frankston-Flinders Rd,406.12793378046365
Hurstbridge Primary School,Primary,Nillumbik (S),Hurstbridge Station/Heidelberg-Kinglake Rd,470.1991367409492
Coburg West Primary School,Primary,Moreland (C),Bruce St/Reynard St,50.85589010002955
Elwood Primary School,Primary,Port Phillip (C),Elwood Canal/Glen Huntly Rd,153.03958886199155
Mont Albert Primary School,Primary,Whitehorse (C),Inglisby Rd/Whitehorse Rd #54,260.4400336296761
Strathewen Primary School,Primary,Nillumbik (S),Bald Spur Rd/Whittlesea - Kinglake Rd,5383.03403910384
Reservoir Primary School,Primary,Darebin (C),Barton St/High St,179.60508598521815
Moonee Ponds Primary School,Primary,Moonee Valley (C),Moonee Ponds PS/Wilson St,26.033664205114306
Kingsville Primary School,Primary,Maribyrnong (C),Bishop St/Somerville Rd,95.51286052166445
Kallista Primary School,Primary,Yarra Ranges (S),Kallista PS/Kallista-Emerald Rd,18.440274581133664
Essendon North Primary School,Primary,Moonee Valley (C),Essendon North PS/Keilor Rd,18.185326529980664
Ascot Vale West Primary School,Primary,Moonee Valley (C),Kirk St/Charles St,246.22024935419282
Hartwell Primary School,Primary,Boroondara (C),Oberwyl Rd/Toorak Rd #54,110.53978669856349
Wattle Glen Primary School,Primary,Nillumbik (S),Park & Ride 2,430.5077589194874
