kerbsideid,location,Latitude,Longitude
65110,"-37.8101844921807, 144.96909060989694",-37.8101844921807,144.96909060989694
66237,"-37.8119181725674, 144.9596677505574",-37.8119181725674,144.9596677505574
54415,"-37.81360543140286, 144.96018465655163",-37.81360543140286,144.96018465655163
65359,"-37.812079903526126, 144.96329725545985",-37.812079903526126,144.96329725545985
65329,"-37.81202477593277, 144.9628107705015",-37.81202477593277,144.9628107705015
50662,"-37.80913844013256, 144.97189445783573",-37.80913844013256,144.97189445783573
50664,"-37.809037522981974, 144.97184785392136",-37.809037522981974,144.97184785392136
50640,"-37.808660179978915, 144.97179932080303",-37.808660179978915,144.97179932080303
50643,"-37.808589373656346, 144.97176686270228",-37.808589373656346,144.97176686270228
7559,"-37.80842568164155, 144.95952808407958",-37.80842568164155,144.95952808407958
54416,"-37.81354274368513, 144.96015603675647",-37.81354274368513,144.96015603675647
65212,"-37.81090906486972, 144.96662346197735",-37.81090906486972,144.96662346197735
65245,"-37.81116977716893, 144.9663764898553",-37.81116977716893,144.9663764898553
65026,"-37.809780944277975, 144.97046816802302",-37.809780944277975,144.97046816802302
65037,"-37.809543758145935, 144.97161125462517",-37.809543758145935,144.97161125462517
52232,"-37.8101876339628, 144.96690220578893",-37.8101876339628,144.96690220578893
54634,"-37.811582207875794, 144.95914220671528",-37.811582207875794,144.95914220671528
61737,"-37.81382164650383, 144.97251252259366",-37.81382164650383,144.97251252259366
61912,"-37.8148583618696, 144.96842999036193",-37.8148583618696,144.96842999036193
61941,"-37.81494900164732, 144.96867536034765",-37.81494900164732,144.96867536034765
61951,"-37.815147629452596, 144.96799743934574",-37.815147629452596,144.96799743934574
62415,"-37.81851813189846, 144.95579587661973",-37.81851813189846,144.95579587661973
63962,"-37.81558328300279, 144.95883870189178",-37.81558328300279,144.95883870189178
63963,"-37.815601431880836, 144.95877570465595",-37.815601431880836,144.95877570465595
56929,"-37.81674568274913, 144.95576852792365",-37.81674568274913,144.95576852792365
57330,"-37.81280728602657, 144.95395122511678",-37.81280728602657,144.95395122511678
51441,"-37.808597595193646, 144.96897073263065",-37.808597595193646,144.96897073263065
61545,"-37.81926742928211, 144.95770932065443",-37.81926742928211,144.95770932065443
61626,"-37.81982702192029, 144.95541099028247",-37.81982702192029,144.95541099028247
61247,"-37.81770272307367, 144.96281254166757",-37.81770272307367,144.96281254166757
66331,"-37.81254443291941, 144.95745637063015",-37.81254443291941,144.95745637063015
54249,"-37.815591768624046, 144.96084552253814",-37.815591768624046,144.96084552253814
8995,"-37.80071028902734, 144.9587463272103",-37.80071028902734,144.9587463272103
9599,"-37.804653929416006, 144.94924754974852",-37.804653929416006,144.94924754974852
57649,"-37.80969112401428, 144.95248077053498",-37.80969112401428,144.95248077053498
10725,"-37.80450778218278, 144.95099046664828",-37.80450778218278,144.95099046664828
10902,"-37.805448096343866, 144.95011583042907",-37.805448096343866,144.95011583042907
11486,"-37.80316332871014, 144.95062779999432",-37.80316332871014,144.95062779999432
11930,"-37.80131826360962, 144.95488598477425",-37.80131826360962,144.95488598477425
63124,"-37.81626061953369, 144.95996820198357",-37.81626061953369,144.95996820198357
14167,"-37.802316466049874, 144.95960722647885",-37.802316466049874,144.95960722647885
66061,"-37.8101691211248, 144.9657566431519",-37.8101691211248,144.9657566431519
50511,"-37.80988630038749, 144.97234932670602",-37.80988630038749,144.97234932670602
50519,"-37.81001589255792, 144.972297539473",-37.81001589255792,144.972297539473
61653,"-37.8200352168038, 144.95502406275878",-37.8200352168038,144.95502406275878
61929,"-37.815184334070054, 144.96731797565894",-37.815184334070054,144.96731797565894
65148,"-37.810438278379074, 144.9685565319365",-37.810438278379074,144.9685565319365
51449,"-37.808384291985476, 144.96887260062516",-37.808384291985476,144.96887260062516
52137,"-37.81116388827178, 144.96734695313552",-37.81116388827178,144.96734695313552
52147,"-37.811385111806615, 144.96732387800176",-37.811385111806615,144.96732387800176
21743,"-37.8479902032593, 144.98238670151437",-37.8479902032593,144.98238670151437
21745,"-37.848005552140705, 144.98251218961013",-37.848005552140705,144.98251218961013
21746,"-37.84806759441919, 144.9830194271252",-37.84806759441919,144.9830194271252
21747,"-37.8480978861111, 144.98326708231346",-37.8480978861111,144.98326708231346
21753,"-37.84814671324986, 144.98366630782294",-37.84814671324986,144.98366630782294
21758,"-37.84820999813061, 144.9841837429665",-37.84820999813061,144.9841837429665
21759,"-37.84821789462343, 144.9842483119175",-37.84821789462343,144.9842483119175
51733,"-37.81515350387129, 144.96917989417204",-37.81515350387129,144.96917989417204
54529,"-37.8124856734189, 144.95955181649907",-37.8124856734189,144.95955181649907
