kerbsideid,location,Latitude,Longitude
55333,"-37.81122516603701, 144.95738072916322",-37.81122516603701,144.95738072916322
10524,"-37.802759591273855, 144.96520118402816",-37.802759591273855,144.96520118402816
62065,"-37.81615408033775, 144.9645522505158",-37.81615408033775,144.9645522505158
62058,"-37.816001256997616, 144.96507840798898",-37.816001256997616,144.96507840798898
61151,"-37.81709660795699, 144.9649217246474",-37.81709660795699,144.9649217246474
61711,"-37.813606566039525, 144.97269212346686",-37.813606566039525,144.97269212346686
61714,"-37.81366461062718, 144.97249517994058",-37.81366461062718,144.97249517994058
51616,"-37.81607479216211, 144.96972864047393",-37.81607479216211,144.96972864047393
51016,"-37.81259081465073, 144.97088533850928",-37.81259081465073,144.97088533850928
66073,"-37.81038873358746, 144.96500475513582",-37.81038873358746,144.96500475513582
62219,"-37.81718530318269, 144.96043649733113",-37.81718530318269,144.96043649733113
65227,"-37.81120264052758, 144.9656285162551",-37.81120264052758,144.9656285162551
54065,"-37.81728823580427, 144.96162989440703",-37.81728823580427,144.96162989440703
54152,"-37.81653727723833, 144.96128264921094",-37.81653727723833,144.96128264921094
65183,"-37.810487086510605, 144.9687299278653",-37.810487086510605,144.9687299278653
65182,"-37.810468180173274, 144.96879411251172",-37.810468180173274,144.96879411251172
65132,"-37.81028121719562, 144.96909321496474",-37.81028121719562,144.96909321496474
65569,"-37.81350864172105, 144.95805871741527",-37.81350864172105,144.95805871741527
60739,"-37.82082072074438, 144.95633848342953",-37.82082072074438,144.95633848342953
65823,"-37.808688713900466, 144.97064683077053",-37.808688713900466,144.97064683077053
52218,"-37.810075248630795, 144.96697657130892",-37.810075248630795,144.96697657130892
52214,"-37.810322721075494, 144.96709005970536",-37.810322721075494,144.96709005970536
54625,"-37.811842933414, 144.95926050498542",-37.811842933414,144.95926050498542
62336,"-37.81781680975926, 144.95881050825827",-37.81781680975926,144.95881050825827
61910,"-37.814820906790246, 144.96855784841813",-37.814820906790246,144.96855784841813
61949,"-37.81510974607741, 144.968126888427",-37.81510974607741,144.968126888427
64013,"-37.815952036044884, 144.95697029322807",-37.815952036044884,144.95697029322807
50018,"-37.81452914354371, 144.97462955185944",-37.81452914354371,144.97462955185944
56910,"-37.81707745376239, 144.956168806464",-37.81707745376239,144.956168806464
56823,"-37.81811848146147, 144.9563958555991",-37.81811848146147,144.9563958555991
57229,"-37.81377979278942, 144.9544014382596",-37.81377979278942,144.9544014382596
57224,"-37.81406297897234, 144.95453295225116",-37.81406297897234,144.95453295225116
51442,"-37.80857093499759, 144.96895845596356",-37.80857093499759,144.96895845596356
8157,"-37.802134011092036, 144.96617105587706",-37.802134011092036,144.96617105587706
8166,"-37.80204351861583, 144.96616912342483",-37.80204351861583,144.96616912342483
8182,"-37.801973692853075, 144.96643252750215",-37.801973692853075,144.96643252750215
8577,"-37.803407967354445, 144.96609718496694",-37.803407967354445,144.96609718496694
8892,"-37.80472860023576, 144.95983457919806",-37.80472860023576,144.95983457919806
57651,"-37.8095913366171, 144.95242787718308",-37.8095913366171,144.95242787718308
57650,"-37.80964123882298, 144.95245433189928",-37.80964123882298,144.95245433189928
10482,"-37.80102321673774, 144.96537691458144",-37.80102321673774,144.96537691458144
10484,"-37.80097411747066, 144.96538534120913",-37.80097411747066,144.96538534120913
10672,"-37.80580572269983, 144.954477568818",-37.80580572269983,144.954477568818
10743,"-37.80374279657992, 144.95089124300307",-37.80374279657992,144.95089124300307
63214,"-37.816759786443036, 144.95806288472357",-37.816759786443036,144.95806288472357
12031,"-37.79842653247071, 144.95315447010427",-37.79842653247071,144.95315447010427
12077,"-37.80087126973085, 144.95332118629088",-37.80087126973085,144.95332118629088
63133,"-37.81616879805182, 144.96046718573854",-37.81616879805182,144.96046718573854
14175,"-37.80316694582036, 144.95995456800702",-37.80316694582036,144.95995456800702
14327,"-37.803482109038455, 144.95985100469983",-37.803482109038455,144.95985100469983
51830,"-37.81443007116168, 144.9688443057432",-37.81443007116168,144.9688443057432
51827,"-37.814502169560754, 144.96887680361226",-37.814502169560754,144.96887680361226
61248,"-37.81772102446043, 144.96274844311608",-37.81772102446043,144.96274844311608
64559,"-37.81276759897656, 144.96448209633098",-37.81276759897656,144.96448209633098
51447,"-37.80843764000215, 144.96889713190575",-37.80843764000215,144.96889713190575
21543,"-37.84508897173963, 144.97979550418984",-37.84508897173963,144.97979550418984
52026,"-37.81233250018402, 144.96775809792723",-37.81233250018402,144.96775809792723
54322,"-37.81461561800986, 144.96052093421125",-37.81461561800986,144.96052093421125
53936,"-37.81819258211774, 144.96216597602785",-37.81819258211774,144.96216597602785
53930,"-37.81835552311773, 144.96224079538567",-37.81835552311773,144.96224079538567
54546,"-37.81268700721902, 144.95951651382325",-37.81268700721902,144.95951651382325
54535,"-37.812320463144786, 144.9594764871128",-37.812320463144786,144.9594764871128
18217,"-37.819002040761376, 144.94861828604726",-37.819002040761376,144.94861828604726
15092,"-37.82127096755983, 144.94358696032316",-37.82127096755983,144.94358696032316
20915,"-37.820544466518626, 144.94545223320023",-37.820544466518626,144.94545223320023
20596,"-37.820749425037675, 144.94726499357756",-37.820749425037675,144.94726499357756
61325,"-37.81814488782854, 144.96131426331482",-37.81814488782854,144.96131426331482
61532,"-37.818834738617184, 144.95921629702167",-37.818834738617184,144.95921629702167
20924,"-37.82038876842533, 144.94606127507134",-37.82038876842533,144.94606127507134
13022,"-37.81959659580849, 144.94494170325518",-37.81959659580849,144.94494170325518
13452,"-37.819537177596004, 144.94483260294783",-37.819537177596004,144.94483260294783
11365,"-37.804135156695956, 144.9554583295428",-37.804135156695956,144.9554583295428
