census_year,clue_small_area,Total_cafe,accommodation_and_food_services,administrative_and_support_services,agriculture_forestry_and_fishing,arts_and_recreation_services,construction,education_and_training,electricity_gas_water_and_waste_services,financial_and_insurance_services,health_care_and_social_assistance,information_media_and_telecommunications,manufacturing,mining,other_services,professional_scientific_and_technical_services,public_administration_and_safety,rental_hiring_and_real_estate_services,retail_trade,transport_postal_and_warehousing,wholesale_trade,total_establishments_in_block,Total_Dwel,New_Cafe
2010,Melbourne (CBD),1655,724.5,420.0,0.8,99.6,15.8,269.1,19.5,560.0,394.0,160.0,252.9,5.0,150.0,1382.4,142.4,117.6,1595.0,65.39999999999999,60.5,4444.5,971.0,83
2010,Melbourne (Remainder),69,20.0,18.400000000000002,0.2,29.4,2.0,6.3,1.2,32.0,67.0,7.2,9.9,0.1,5.4,57.6,4.800000000000001,6.0,18.0,4.2,3.0,204.0,123.0,0
2010,North Melbourne,137,56.0,32.800000000000004,0.0,30.0,8.200000000000001,22.5,6.8999999999999995,17.6,89.0,25.6,54.9,0.0,29.0,122.4,10.4,13.799999999999999,118.0,23.4,38.5,532.0,123.0,0
2010,Parkville,49,28.5,2.4000000000000004,0.2,18.0,0.0,13.5,2.1,4.800000000000001,85.0,2.4000000000000004,3.6,0.0,4.6000000000000005,12.0,3.2,0.6,23.0,3.0,0.0,141.0,0.0,0
2010,Port Melbourne,29,8.5,10.4,0.4,6.6,8.8,4.5,1.7999999999999998,8.0,2.0,10.4,69.3,0.0,2.6,59.2,5.6000000000000005,6.6,22.0,21.0,36.0,217.0,0.0,0
2010,South Yarra,16,8.5,1.6,0.0,3.0,0.0,11.700000000000001,1.5,0.0,3.0,0.8,0.0,0.0,2.0,0.0,0.8,0.0,9.0,0.0,0.0,33.0,0.0,1
2010,Southbank,141,65.5,21.6,0.6000000000000001,26.4,3.2,11.700000000000001,6.6,21.6,19.0,25.6,18.0,0.6000000000000001,11.200000000000001,101.60000000000001,9.600000000000001,18.0,104.0,9.0,7.0,359.0,609.0,29
2010,West Melbourne (Industrial),9,4.0,0.8,0.2,6.6,0.4,0.0,3.5999999999999996,0.8,0.0,2.4000000000000004,9.0,0.0,1.2000000000000002,4.0,3.2,6.6,8.0,38.4,109.0,182.5,0.0,0
2010,West Melbourne (Residential),73,29.0,12.8,0.0,11.4,2.6,15.3,3.5999999999999996,12.8,13.0,9.600000000000001,19.8,0.0,12.600000000000001,84.0,4.800000000000001,4.2,46.0,12.0,23.5,246.0,10.0,0
2011,Carlton,338,126.5,20.8,0.2,21.0,4.2,78.3,4.2,30.400000000000002,99.0,16.8,28.8,0.0,29.8,118.4,18.400000000000002,9.6,163.0,3.0,14.5,580.0,369.0,8
2011,Docklands,211,81.0,24.0,0.2,18.599999999999998,3.8000000000000003,5.4,2.6999999999999997,24.0,14.0,15.200000000000001,13.5,0.2,10.8,71.2,12.8,24.0,283.0,21.0,5.0,432.5,806.0,35
2011,East Melbourne,74,34.0,13.600000000000001,0.0,24.599999999999998,1.2000000000000002,14.4,2.1,15.200000000000001,218.0,5.6000000000000005,6.3,0.1,10.0,65.60000000000001,15.200000000000001,5.3999999999999995,20.0,1.2,2.0,296.5,0.0,5
2011,Kensington,49,20.5,5.6000000000000005,0.8,53.4,6.2,13.5,3.0,2.4000000000000004,27.0,8.8,50.4,0.2,10.8,33.6,4.0,7.8,52.0,9.0,17.0,255.5,57.0,0
2011,Melbourne (CBD),1738,753.5,414.40000000000003,0.8,103.8,15.4,269.1,19.5,560.0,386.0,155.20000000000002,253.8,4.800000000000001,150.4,1383.2,138.4,120.6,1602.0,65.39999999999999,58.5,4468.0,242.0,37
2011,Melbourne (Remainder),69,19.0,18.400000000000002,0.2,29.4,2.0,5.4,1.2,32.0,64.0,7.2,9.9,0.1,5.0,53.6,4.800000000000001,6.0,14.0,4.2,3.0,195.5,0.0,0
2011,North Melbourne,137,56.0,32.800000000000004,0.0,30.0,8.200000000000001,22.5,6.8999999999999995,17.6,89.0,25.6,54.9,0.0,29.0,122.4,10.4,13.799999999999999,118.0,23.4,38.5,532.0,530.0,0
2011,Parkville,49,27.5,2.4000000000000004,0.2,18.0,0.0,12.6,2.1,4.800000000000001,84.0,1.6,3.6,0.0,4.4,10.4,3.2,0.6,23.0,3.0,0.0,137.0,14.0,0
2011,Port Melbourne,29,8.5,10.4,0.4,6.6,8.8,4.5,1.7999999999999998,8.0,2.0,10.4,69.3,0.0,2.6,59.2,5.6000000000000005,6.6,22.0,21.0,36.0,217.0,0.0,0
2011,South Yarra,17,8.0,1.6,0.0,3.0,0.0,12.6,1.5,0.0,3.0,0.8,0.0,0.0,2.0,0.0,0.8,0.0,9.0,0.0,0.0,33.0,0.0,0
2011,Southbank,170,80.0,20.8,0.6000000000000001,24.0,5.0,14.4,4.2,23.200000000000003,24.0,17.6,14.4,0.5,10.600000000000001,113.60000000000001,8.0,19.2,220.0,8.4,10.0,435.5,720.0,0
2011,West Melbourne (Industrial),9,4.0,0.8,0.2,6.6,0.4,0.0,3.5999999999999996,0.8,0.0,2.4000000000000004,9.0,0.0,1.2000000000000002,4.0,3.2,6.6,8.0,38.4,109.0,182.5,0.0,0
2011,West Melbourne (Residential),73,29.0,12.8,0.0,11.4,2.6,15.3,3.5999999999999996,12.8,13.0,9.600000000000001,19.8,0.0,12.600000000000001,84.0,4.800000000000001,4.2,46.0,12.0,23.5,246.0,72.0,11
2012,Carlton,346,90.0,21.6,0.4,22.2,3.0,34.2,2.1,24.0,73.0,8.0,19.8,0.0,26.200000000000003,84.80000000000001,12.0,10.2,133.0,3.0,9.5,433.5,470.0,0
2012,Docklands,246,85.5,27.200000000000003,0.0,21.599999999999998,4.2,9.9,3.0,20.0,20.0,20.0,10.8,0.30000000000000004,12.4,80.0,11.200000000000001,24.0,260.0,19.8,6.0,444.5,1440.0,0
2012,East Melbourne,79,22.0,9.600000000000001,0.0,16.2,1.4000000000000001,7.2,3.3,14.4,112.0,3.2,2.7,0.1,4.6000000000000005,38.400000000000006,10.4,3.5999999999999996,13.0,1.2,2.5,178.5,0.0,0
2012,Kensington,49,17.0,5.6000000000000005,0.6000000000000001,49.8,5.2,9.9,2.6999999999999997,2.4000000000000004,24.0,6.4,40.5,0.1,8.8,26.400000000000002,4.0,6.6,44.0,7.8,16.0,218.0,440.0,14
2012,Melbourne (CBD),1775,970.5,507.20000000000005,0.8,104.39999999999999,23.0,307.8,22.2,735.2,561.0,177.60000000000002,384.3,5.800000000000001,195.8,1863.2,181.60000000000002,164.4,1999.0,78.6,81.0,5786.0,1677.0,64
2012,Melbourne (Remainder),69,14.5,3.2,0.0,18.0,0.0,4.5,0.8999999999999999,1.6,10.0,0.0,0.0,0.0,2.2,9.600000000000001,1.6,0.0,11.0,1.2,0.0,60.5,0.0,6
2012,North Melbourne,137,81.5,44.0,0.2,42.0,13.8,35.1,9.6,21.6,127.0,39.2,79.2,0.0,44.800000000000004,182.4,16.0,20.4,171.0,28.799999999999997,53.5,776.0,489.0,0
2012,Parkville,49,42.5,4.800000000000001,0.0,21.599999999999998,0.2,19.8,2.4,8.0,79.0,2.4000000000000004,7.2,0.0,4.4,16.0,3.2,0.6,34.0,3.5999999999999996,0.0,172.5,141.0,0
2012,Port Melbourne,29,8.0,10.4,0.4,6.6,8.6,4.5,1.7999999999999998,8.0,2.0,10.4,68.4,0.0,2.6,59.2,4.800000000000001,6.6,21.0,21.0,36.0,214.5,0.0,2
2012,South Yarra,17,8.0,1.6,0.0,3.0,0.0,12.6,1.5,0.0,3.0,0.8,0.0,0.0,2.0,0.0,0.8,0.0,9.0,0.0,0.0,33.0,0.0,0
2012,Southbank,170,74.0,20.8,0.6000000000000001,19.2,4.800000000000001,13.5,3.5999999999999996,21.6,23.0,16.8,13.5,0.5,9.4,101.60000000000001,5.6000000000000005,18.599999999999998,217.0,7.8,9.5,406.0,700.0,54
