date_new,Public Holiday?,Min,Max,Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),CollinsPlaceNorth
2016-01-01,1,19.8,24.2,22.0,0.0,1969.0
2016-01-02,0,17.1,27.6,25.1,0.0,2125.0
2016-01-03,0,17.5,27.1,25.7,0.0,1729.0
2016-01-04,0,16.3,26.0,15.3,0.0,7221.0
2016-01-05,0,17.1,25.7,25.8,0.0,7273.0
2016-01-06,0,17.3,25.7,18.1,0.0,7827.0
2016-01-07,0,16.3,21.3,30.4,0.0,7908.0
2016-01-08,0,16.2,20.6,25.4,0.0,7565.0
2016-01-09,0,16.8,21.4,21.3,0.0,2181.0
2016-01-10,0,15.7,31.5,31.3,0.0,1693.0
2016-01-11,0,17.2,36.4,15.8,0.0,9756.0
2016-01-12,0,17.1,24.8,29.1,0.8,10249.0
2016-01-13,0,16.8,42.2,25.0,0.2,9469.0
2016-01-14,0,16.1,18.1,3.9,0.4,10199.0
2016-01-15,0,13.6,19.2,19.7,1.0,9603.0
2016-01-16,0,11.9,22.3,32.6,0.0,2570.0
2016-01-17,0,14.9,32.7,31.5,0.0,2254.0
2016-01-18,0,18.6,35.3,30.4,0.0,10533.0
2016-01-19,0,17.9,30.9,27.2,0.0,10759.0
2016-01-20,0,19.3,29.1,18.6,1.0,11132.0
2016-01-21,0,19.0,26.7,14.9,0.8,11173.0
2016-01-22,0,17.5,22.8,6.5,1.6,10143.0
2016-01-23,0,17.3,21.9,23.2,7.0,2635.0
2016-01-24,0,16.2,22.2,23.4,5.2,1969.0
2016-01-25,0,16.7,20.9,25.7,0.4,8253.0
2016-01-26,1,16.5,29.4,28.7,0.0,2200.0
2016-01-27,0,19.3,29.5,22.2,0.0,11058.0
2016-01-28,0,20.3,27.5,19.0,3.6,11177.0
2016-01-29,0,14.4,18.3,14.3,14.2,11083.0
2016-01-30,0,12.3,22.4,24.0,1.2,2602.0
2016-01-31,0,13.9,21.8,26.3,10.6,1648.0
2016-02-01,0,12.5,23.6,29.4,0.0,11330.0
2016-02-02,0,15.4,31.5,25.5,0.0,11799.0
2016-02-03,0,18.1,21.0,11.0,0.6,11338.0
2016-02-04,0,17.3,20.9,21.7,2.4,11434.0
2016-02-05,0,15.3,29.4,29.0,0.0,11096.0
2016-02-06,0,16.5,32.6,28.8,0.0,2953.0
2016-02-07,0,19.1,27.7,28.5,0.0,1953.0
2016-02-08,0,19.2,22.9,23.3,0.0,10796.0
2016-02-09,0,17.4,22.7,27.7,0.0,11518.0
2016-02-10,0,17.4,23.3,25.3,0.0,11261.0
2016-02-11,0,18.0,23.8,27.6,0.0,11735.0
2016-02-12,0,16.7,24.9,27.9,0.0,11520.0
2016-02-13,0,17.7,30.3,23.4,0.0,2801.0
2016-02-14,0,16.4,24.5,22.9,0.0,1822.0
2016-02-15,0,14.0,26.1,25.4,0.0,11090.0
2016-02-16,0,13.7,18.4,14.5,3.6,11375.0
2016-02-17,0,12.7,21.1,16.2,0.6,11052.0
2016-02-18,0,15.5,22.6,20.6,1.2,11936.0
2016-02-19,0,15.8,22.0,11.2,0.2,10786.0
2016-02-20,0,15.8,20.8,23.8,0.0,4783.0
2016-02-21,0,12.6,24.7,26.5,0.0,2926.0
2016-02-22,0,15.6,29.5,8.4,0.0,10879.0
2016-02-23,0,18.1,39.4,19.4,0.0,11516.0
2016-02-24,0,22.4,25.6,15.8,0.0,12009.0
2016-02-25,0,19.6,26.4,13.8,0.4,11852.0
2016-02-26,0,15.5,23.5,19.3,0.0,11210.0
2016-02-27,0,17.7,22.2,17.7,0.0,3159.0
2016-02-28,0,17.7,22.7,21.5,0.0,2520.0
2016-02-29,0,15.0,23.7,18.2,0.0,11331.0
2016-03-01,0,17.3,33.7,23.4,0.0,11724.0
2016-03-02,0,17.6,34.7,22.6,0.0,11724.0
2016-03-03,0,17.4,23.9,21.8,0.2,11885.0
2016-03-04,0,16.5,33.0,21.2,0.2,10951.0
2016-03-05,0,20.4,23.7,11.4,1.2,2605.0
2016-03-06,0,17.4,25.2,21.3,0.0,1711.0
2016-03-07,0,18.6,24.9,7.9,3.2,11092.0
2016-03-08,0,19.9,38.9,20.8,0.6,11471.0
2016-03-09,0,20.8,28.5,10.8,0.0,11142.0
2016-03-10,0,18.1,22.1,3.9,0.6,11563.0
2016-03-11,0,18.8,26.1,19.6,8.4,11219.0
2016-03-12,0,18.7,22.3,7.0,0.2,2609.0
2016-03-13,0,17.7,23.2,13.8,0.0,2148.0
2016-03-14,1,18.4,21.3,10.6,0.0,2297.0
2016-03-15,0,15.1,26.8,20.7,0.0,11393.0
2016-03-16,0,15.3,31.4,18.9,0.0,11554.0
2016-03-17,0,18.3,32.5,19.6,0.0,12381.0
2016-03-18,0,15.2,19.5,6.7,13.4,11364.0
2016-03-19,0,12.0,18.8,10.7,5.8,2946.0
2016-03-20,0,10.1,23.3,19.0,0.2,2186.0
2016-03-21,0,11.2,23.5,19.7,0.0,11611.0
2016-03-22,0,11.4,24.3,21.1,0.0,12303.0
2016-03-23,0,13.7,28.8,12.7,0.0,12596.0
2016-03-24,0,16.3,21.2,10.4,0.0,12070.0
2016-03-25,1,15.9,20.4,14.4,0.0,2181.0
2016-03-26,1,14.1,20.2,8.2,0.4,2602.0
2016-03-27,1,14.3,19.9,14.0,1.0,1987.0
2016-03-28,1,9.4,19.2,13.0,0.2,1688.0
2016-03-29,0,14.5,17.9,5.7,0.0,10044.0
