name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description,breach_year,breach_month,severity_level,type_of_breach_encoded,location_of_breached_information_encoded,covered_entity_type_encoded
"Temple University Hospital, Inc. ",PA,Healthcare Provider,17041.0,2021-06-02,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Temple University Hospital, reported that its business associate (BA) was the victim of a ransomware attack that affected the electronic protected health information (ePHI) of approximately 17,041 individuals.  The ePHI involved included names, dates of birth, clinical information, and other treatment information.  The CE notified HHS, affected individuals, and the media.  Following the breach, the CE terminated its business associate agreement with its BA.",2021,6,High,0,83,3
"Spire Power Solutions, L.P.",GA,Health Plan,771.0,2021-06-02,Hacking/IT Incident,Email,Yes,"The covered entity (CE), Spire Power Solutions, reported that an employee of its business associate (BA) experienced an email phishing attack that affected the electronic protected health information (ePHI) of 771 individuals.  The ePHI involved included names, addresses, dates of birth, Social Security numbers, health insurance information, and treatment information.  The BA notified HHS, affected individuals, and the media.  In response to the breach, the CE updated its policies and procedures to provide additional safeguards for its ePHI.  OCR provided technical assistance to the CE regarding business associate agreements and obtained assurances that the CE implemented the corrective actions noted. ",2021,6,Low,0,66,1
Hill Country Community Clinic dba Hill Country Health and Wellness Center,CA,Healthcare Provider,2658.0,2021-06-01,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Hill Country Community Clinic dba Hill Country Health and Wellness Center, reported that its business associate experienced a cyber-attack that affected the electronic protected health information (ePHI) of 2,658 individuals. The ePHI involved included names, dates of birth, and medications prescribed. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website.",2021,6,Moderate,0,83,3
Tri-County Family Medicine,NY,Healthcare Provider,1438.0,2021-06-01,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Tri-County Family Medicine, reported that its business associate experienced a cyber-attack that affected the electronic protected health information (ePHI) of 1,438 individuals. The ePHI involved included names, dates of birth, prescription information, and treatment information. The CE notified HHS, affected individuals, and the media.",2021,6,Moderate,0,83,3
Scripps Health,CA,Healthcare Provider,1267639.0,2021-06-01,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Scripps Health, reported that it was the victim of a ransomware attack affecting the protected health information (PHI) of 1,267,639 individuals. The PHI involved included names, Social Security numbers, dates of birth, addresses, drivers’ license numbers, diagnoses, and other treatment information. The CE notified HHS, affected individuals, the media, and posted substitute notice on its website. In response to the breach, the CE implemented additional administrative and technical safeguards.",2021,6,Critical,0,83,3
Superior HealthPlan,TX,Health Plan,2781.0,2021-06-01,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Superior HealthPlan, reported that its business associate (BA) was the victim of a cyber-attack that compromised the protected health information (PHI) of 2,781 individuals. The PHI involved included names, addresses, dates of birth,  and diagnoses. The CE notified HHS, affected individuals, the media, and provided substitute notice. OCR has initiated a compliance review of the business associate regarding this breach.",2021,6,Moderate,0,83,1
Jones Memorial Hospital,NY,Healthcare Provider,8962.0,2021-06-01,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Jones Memorial Hospital, reported that its business associate was the victim of a cyber-attack that affected the electronic protected health information (ePHI) of approximately 8,962 individuals.  The ePHI involved included names, dates of birth, medications prescribed, and other treatment information.  The CE notified HHS, affected individuals, the media, and provided substitute notice.",2021,6,Moderate,0,83,3
Wirt County Health Services Association d/b/a Coplin Health Systems,WV,Healthcare Provider,2164.0,2021-05-29,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Wirt County Health Services Association dba Coplin Health Systems, reported that its business associate (BA) experienced a ransomware attack that affected the electronic protected health information (ePHI) of 2,164 individuals.  The ePHI involved included names, dates of births, prescription information, and medical record numbers.  The CE notified HHS and posted substitute notice on its website.  The BA notified affected individuals and the media.  In response to the breach, the BA implemented additional security measures to better protected ePHI.   After the breach, the CE executed a business associate agreement with the BA.

",2021,5,Moderate,0,83,3
Hoboken Radiology LLC,NJ,Healthcare Provider,80000.0,2021-05-28,Hacking/IT Incident,Network Server,No,"The covered entity (CE), Hoboken Radiology, reported that it discovered technical vulnerabilities that allowed unauthorized individuals to view electronic protected health information (ePHI) on its network server.  This breach affected 80,000 individuals.  The ePHI involved included names, addresses, dates of birth, and other treatment information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its ePHI.",2021,5,High,0,83,3
Monroe County Health Center ,WV,Healthcare Provider,757.0,2021-05-28,Hacking/IT Incident,Network Server,Yes,"The covered entity (CE), Monroe County Health Center, reported that its business associate (BA) was the victim of a ransomware attack that affected the electronic protected health information (ePHI) of 757 individuals.  The ePHI involved included names, dates of birth, prescription information, and medical record numbers.  The CE notified HHS and the BA notified affected individuals and the media.",2021,5,Low,0,83,3
