Station Name,Station access,Staffed,Escalators,Lift,Independent boarding,Shelter,Low platform,Tactile edges,Hearing Loop,Info screens,Path Widths,Toilet,Parking,Pick up / Drop off
Thornbury Station,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No
Croxton Station,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
Northcote Station,Yes,No,No,No,No,In Part,No,No,No,Yes,No,No,No,No
Merri Station,Yes,No,No,No,Yes,No,In Part,Yes,No,No,No,No,Yes,No
Rushall Station,Yes,No,No,No,No,In Part,No,No,No,No,No,No,No,No
Clifton Hill Station,Yes,Yes,No,No,No,Yes,No,In Part,No,Yes,Yes,Yes,Yes,No
Victoria Park Station,Yes,No,No,No,In Part,No,No,Yes,No,Yes,Yes,No,No,No
Collingwood Station,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
North Richmond Station,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
West Richmond Station,Yes,No,No,No,No,No,Yes,In Part,No,No,Yes,No,No,No
Jolimont-MCG Station,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
Parliament Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Melbourne Central Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Flagstaff Station,Yes,Yes,Yes,Yes,In Part,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
Southern Cross Station,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
Flinders Street Station,Yes,Yes,Yes,Yes,In Part,Yes,In Part,Yes,Yes,Yes,No,Yes,No,No
East Pakenham Station,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Pakenham Station,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Cardinia Road Station,Yes,No,No,No,In Part,In Part,No,Yes,Yes,Yes,Yes,No,Yes,Yes
