date,Year,Month,day of week,Rainfall_amount_(millimetres)
23/08/2016,2016,Aug,Tuesday,11
24/08/2016,2016,Aug,Wednesday,0
25/08/2016,2016,Aug,Thursday,1.2
26/08/2016,2016,Aug,Friday,0.6
27/08/2016,2016,Aug,Saturday,0
28/08/2016,2016,Aug,Sunday,0
29/08/2016,2016,Aug,Monday,0
30/08/2016,2016,Aug,Tuesday,0
31/08/2016,2016,Aug,Wednesday,0.8
1/09/2016,2016,Sep,Thursday,0
2/09/2016,2016,Sep,Friday,0.4
3/09/2016,2016,Sep,Saturday,0.2
4/09/2016,2016,Sep,Sunday,0.2
5/09/2016,2016,Sep,Monday,0
6/09/2016,2016,Sep,Tuesday,0
7/09/2016,2016,Sep,Wednesday,0
8/09/2016,2016,Sep,Thursday,0
9/09/2016,2016,Sep,Friday,0.6
10/09/2016,2016,Sep,Saturday,9.4
11/09/2016,2016,Sep,Sunday,1.2
12/09/2016,2016,Sep,Monday,1.6
13/09/2016,2016,Sep,Tuesday,9
14/09/2016,2016,Sep,Wednesday,20.6
15/09/2016,2016,Sep,Thursday,2
16/09/2016,2016,Sep,Friday,13.4
17/09/2016,2016,Sep,Saturday,0
18/09/2016,2016,Sep,Sunday,0.4
19/09/2016,2016,Sep,Monday,0.2
20/09/2016,2016,Sep,Tuesday,0
21/09/2016,2016,Sep,Wednesday,1.2
22/09/2016,2016,Sep,Thursday,1.2
23/09/2016,2016,Sep,Friday,0.6
24/09/2016,2016,Sep,Saturday,0
25/09/2016,2016,Sep,Sunday,5.8
26/09/2016,2016,Sep,Monday,0.6
27/09/2016,2016,Sep,Tuesday,12.6
28/09/2016,2016,Sep,Wednesday,2.2
29/09/2016,2016,Sep,Thursday,1.8
30/09/2016,2016,Sep,Friday,2
1/10/2016,2016,Oct,Saturday,1.6
2/10/2016,2016,Oct,Sunday,0
