OBJECTID,Wat Break Incident ID,Incident date,Type of Asset Broken,Does the road need to be closed?,Does the sidewalk need to be closed?,Estimated Hours for Repair,Estimated Number of Units Impacted,CW Service Request Number,Current status of the break,Status last updated date,CW Workorder #,Date operations was returned to normal service,Nature of Break,Apparent cause of break,Repair Type,Type of Planned Maintenance,List Valves Closed,List Valves Opened,List Hydrants Called Out,List Hydrants Called Back In,Categorization of the Break,Road Segment ID,Closest Civic Number,Street,Related Asset ID,Related Asset Depth (m),Depth of Frost (m),Asset Size (cm),Year Asset Installed,Asset Material,Asset Exists,GLOBALID,UPDATE_BY,UPDATE_DATE,x,y
9873,2247,1/18/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,5/4/2017 12:00:00 AM,177055,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,13242,140,ROSS AVE,33530,,,150,1959,CI,Y,02b69eef-5ed0-432e-a981-865b0b039f2a,DAVIDV,11/27/2018 12:00:00 AM,544154.8757,4809801.8708
9874,2281,7/27/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,9/19/2017 12:00:00 AM,190251,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,8672,150,HAZELGLEN DR,18280,,,300,1968,DI,Y,43840016-d13a-498e-9063-a9d0f0ddaac2,DAVIDV,11/27/2018 12:00:00 AM,538158.9014,4809963.3212
9875,2282,8/6/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,9/19/2017 12:00:00 AM,190836,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,6963,51,HILLVIEW ST,19570,,,150,1949,CI,N,eda6d80d-f62f-475c-ae18-d181df5ad0f1,DAVIDV,11/27/2018 12:00:00 AM,541664.0112,4812306.0187
9876,2284,8/29/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,9/19/2017 12:00:00 AM,192188,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,10070,1780,KING ST E,21890,,,100,1937,CI,N,a864278c-c765-4753-a176-b8b965338942,DAVIDV,11/27/2018 12:00:00 AM,543730.3311,4809525.6006
9877,2285,8/18/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,9/19/2017 12:00:00 AM,191611,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,9969,179,CARSON DR,5570,,,200,1974,DI,Y,2b8df50f-153b-44a3-96ee-90d5aeb972c4,DAVIDV,11/27/2018 12:00:00 AM,544441.0637,4812637.3932
9878,2286,8/30/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,9/19/2017 12:00:00 AM,192425,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,23218,184,MONTCALM DR,27040,,,200,1966,DI,Y,657da2e7-ab72-44b8-89e3-379b7b8b7f62,DAVIDV,11/27/2018 12:00:00 AM,545358.6238,4811293.0129
9879,2283,8/9/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,9/19/2017 12:00:00 AM,190997,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,22885,48,CRAIG DR,8570,,,150,1987,DI,Y,21eb7c5a-8b3a-4966-b907-f3407ad3fdd9,DAVIDV,11/27/2018 12:00:00 AM,544403.6437,4810846.0805
9880,2287,10/13/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,12/8/2017 12:00:00 AM,195296,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,22745,619,PIONEER DR,1670,,,200,1979,DI,Y,f778a6bf-6b27-40f6-a2ef-d220c8beb938,DAVIDV,11/27/2018 12:00:00 AM,544521.9797,4804367.4135
9881,2288,10/12/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,12/8/2017 12:00:00 AM,195200,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,21524,114,BECHTEL DR,1720,,,200,1979,DI,Y,44b39559-9d60-4931-8479-54d1a6f573f6,DAVIDV,11/27/2018 12:00:00 AM,545052.7906,4804307.0375
9882,2289,11/29/2017 12:00:00 AM,MAIN,,,,,,REPAIR COMPLETED,12/8/2017 12:00:00 AM,198537,,UNKNOWN,OTHER,,,,,,,CATEGORY 1,6518,455,VILLAGE CRES,40140,,,150,1962,CI,Y,7229def8-318b-489e-bee3-2b149d94c7e9,DAVIDV,11/27/2018 12:00:00 AM,539733.7117,4807996.3657
