route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"1-V48-mjp-2","T0_1","25.T0.1-V48-mjp-2.8.R","1-V48-mjp-2.8.R","Melbourne","1"
"1-V48-mjp-2","T0_1","26.T0.1-V48-mjp-2.8.R","1-V48-mjp-2.8.R","Melbourne","1"
"1-V48-mjp-2","T0_1","27.T0.1-V48-mjp-2.8.R","1-V48-mjp-2.8.R","Melbourne","1"
"1-V48-mjp-2","T0_1","28.T0.1-V48-mjp-2.8.R","1-V48-mjp-2.8.R","Melbourne","1"
"1-V48-mjp-2","T0_1","29.T0.1-V48-mjp-2.8.R","1-V48-mjp-2.8.R","Melbourne","1"
"1-V48-mjp-2","T0_1","3.T0.1-V48-mjp-2.3.H","1-V48-mjp-2.3.H","Traralgon","0"
"1-V48-mjp-2","T0_1","30.T0.1-V48-mjp-2.8.R","1-V48-mjp-2.8.R","Melbourne","1"
"1-V48-mjp-2","T0_1","31.T0.1-V48-mjp-2.8.R","1-V48-mjp-2.8.R","Melbourne","1"
"1-V48-mjp-2","T0_1","32.T0.1-V48-mjp-2.8.R","1-V48-mjp-2.8.R","Melbourne","1"
"1-V48-mjp-2","T0_1","33.T0.1-V48-mjp-2.9.R","1-V48-mjp-2.9.R","Melbourne","1"
"1-V48-mjp-2","T0_1","34.T0.1-V48-mjp-2.9.R","1-V48-mjp-2.9.R","Melbourne","1"
"1-V48-mjp-2","T0_1","4.T0.1-V48-mjp-2.3.H","1-V48-mjp-2.3.H","Traralgon","0"
"1-V48-mjp-2","T0_1","5.T0.1-V48-mjp-2.3.H","1-V48-mjp-2.3.H","Traralgon","0"
"1-V48-mjp-2","T0_1","6.T0.1-V48-mjp-2.3.H","1-V48-mjp-2.3.H","Traralgon","0"
"1-V48-mjp-2","T0_1","7.T0.1-V48-mjp-2.3.H","1-V48-mjp-2.3.H","Traralgon","0"
"1-V48-mjp-2","T0_1","8.T0.1-V48-mjp-2.3.H","1-V48-mjp-2.3.H","Traralgon","0"
"1-V48-mjp-2","T0_1","9.T0.1-V48-mjp-2.3.H","1-V48-mjp-2.3.H","Traralgon","0"
"1-V48-mjp-3","T2","1.T2.1-V48-mjp-3.1.H","1-V48-mjp-3.1.H","Traralgon","0"
"1-V48-mjp-3","T2","10.T2.1-V48-mjp-3.1.H","1-V48-mjp-3.1.H","Traralgon","0"
"1-V48-mjp-3","T2","11.T2.1-V48-mjp-3.1.H","1-V48-mjp-3.1.H","Traralgon","0"
"1-V48-mjp-3","T2","12.T2.1-V48-mjp-3.1.H","1-V48-mjp-3.1.H","Traralgon","0"
"1-V48-mjp-3","T2","13.T2.1-V48-mjp-3.1.H","1-V48-mjp-3.1.H","Traralgon","0"
