lastupdated,status_timestamp,zone_number,status_description,parkingbay_id,datetime
2023-08-13T03:16:36+00:00,2023-08-12T22:59:36+00:00,7461.0,Unoccupied,6778,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-02T21:00:27+00:00,7380.0,Unoccupied,6782,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:14:50+00:00,7380.0,Present,6784,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T01:58:14+00:00,7474.0,Present,6861,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:09:59+00:00,7474.0,Unoccupied,6864,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T23:00:45+00:00,7481.0,Present,6882,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T23:31:59+00:00,7481.0,Present,6883,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T22:28:46+00:00,7471.0,Present,6894,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:09:52+00:00,7471.0,Unoccupied,6896,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:16:08+00:00,7471.0,Present,6900,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:25:11+00:00,7471.0,Present,6902,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T23:43:33+00:00,7471.0,Present,6905,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T23:31:00+00:00,7471.0,Present,6906,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:04:59+00:00,7486.0,Unoccupied,6916,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:09:41+00:00,7479.0,Present,6942,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T22:44:12+00:00,7487.0,Present,6945,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T20:58:39+00:00,7624.0,Present,6954,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:59:05+00:00,7624.0,Present,6959,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T01:47:12+00:00,7624.0,Present,6960,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T01:58:53+00:00,7624.0,Present,6971,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:42:53+00:00,7622.0,Present,6990,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:04:50+00:00,7414.0,Present,7108,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:02:28+00:00,7414.0,Present,7110,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T21:12:13+00:00,7422.0,Present,7132,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T20:48:19+00:00,7422.0,Present,7133,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T00:17:20+00:00,7341.0,Present,7154,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T01:28:34+00:00,7341.0,Present,7155,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:48:49+00:00,,Present,7166,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T23:57:59+00:00,7436.0,Present,60136,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:20:21+00:00,7086.0,Present,7228,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T22:36:11+00:00,7087.0,Present,7256,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T23:17:08+00:00,7087.0,Present,7257,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T23:47:16+00:00,7087.0,Present,7258,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:09:43+00:00,7086.0,Present,7264,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:46:39+00:00,7134.0,Present,7312,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T22:16:59+00:00,7134.0,Present,7317,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T22:30:32+00:00,7134.0,Present,7321,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T02:43:29+00:00,,Present,7322,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:07:14+00:00,7680.0,Unoccupied,7325,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:06:22+00:00,7680.0,Present,7332,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T10:50:33+00:00,7128.0,Unoccupied,7335,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T23:29:14+00:00,7128.0,Present,7337,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-13T03:05:21+00:00,7128.0,Present,7338,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T23:14:19+00:00,7127.0,Present,7348,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T23:01:30+00:00,7127.0,Present,7349,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T22:58:06+00:00,,Present,7355,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-09T21:54:47+00:00,7681.0,Unoccupied,7358,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-08T16:59:41+00:00,7681.0,Unoccupied,7360,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T04:03:45+00:00,7681.0,Unoccupied,7361,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-07T19:41:56+00:00,7681.0,Unoccupied,7365,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T21:56:45+00:00,7683.0,Present,7369,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-04-19T17:48:28+00:00,7683.0,Unoccupied,7370,2023-08-13 13:17:40
2023-08-13T03:16:36+00:00,2023-08-12T14:41:36+00:00,7126.0,Unoccupied,7373,2023-08-13 13:17:40
