Census year,Block ID,CLUE small area,Accommodation and Food Services,Administrative and Support Services,"Agriculture, Forestry and Fishing",Arts and Recreation Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Financial and Insurance Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Mining,Other Services,"Professional, Scientific and Technical Services",Public Administration and Safety,"Rental, Hiring and Real Estate Services",Retail Trade,"Transport, Postal and Warehousing",Wholesale Trade,Total establishments in block
2015,867,South Yarra,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
2015,868,South Yarra,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2015,870,Melbourne (Remainder),3,0,0,0,0,1,0,0,3,0,0,0,2,5,0,0,4,0,0,18
2015,902,Parkville,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5
2015,903,Parkville,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2015,905,Parkville,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
2015,906,Parkville,5,1,0,0,1,1,0,5,1,1,1,0,4,12,2,0,1,1,0,36
2015,909,Parkville,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2015,910,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2015,922,Parkville,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,9
2015,924,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,929,Parkville,1,0,0,1,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,9
2015,931,Parkville,10,0,0,17,0,0,4,0,1,0,0,0,1,0,0,0,5,1,0,39
2015,1001,West Melbourne (Industrial),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10
2015,1009,West Melbourne (Industrial),1,0,0,2,0,0,0,0,0,1,1,0,0,1,0,1,0,3,0,10
2015,1013,West Melbourne (Industrial),0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,6
2015,1015,West Melbourne (Industrial),0,0,0,1,1,0,1,0,0,0,2,0,4,0,0,0,4,1,11,25
2015,1102,Docklands,6,2,0,0,2,2,0,1,1,2,2,0,3,23,1,3,1,5,0,54
2015,1103,Docklands,31,3,0,6,0,1,0,2,2,2,0,0,5,3,0,4,3,0,0,62
2015,1111,West Melbourne (Industrial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2015,1112,Docklands,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3
2015,2382,North Melbourne,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3
2015,2391,North Melbourne,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
2015,2502,Kensington,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,2503,Kensington,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015,2505,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,2506,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,2511,Kensington,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
