Census year,Block ID,CLUE small area,Commercial Accommodation,Common Area,Community Use,Educational/Research,Entertainment/Recreation - Indoor,Equipment Installation,Hospital/Clinic,House/Townhouse,Institutional Accommodation,Manufacturing,Office,Park/Reserve,Parking - Commercial Covered,Parking - Commercial Uncovered,Parking - Private Covered,Parking - Private Uncovered,"Performances, Conferences, Ceremonies",Private Outdoor Space,Public Display Area,Residential Apartment,Retail - Cars,Retail - Shop,Retail - Showroom,Retail - Stall,Sports and Recreation - Outdoor,Square/Promenade,Storage,Student Accommodation,Transport,Transport/Storage - Uncovered,Unoccupied - Under Construction,Unoccupied - Under Demolition/Condemned,Unoccupied - Under Renovation,Unoccupied - Undeveloped Site,Unoccupied - Unused,Wholesale,Workshop/Studio,Total floor space in block
2012,436,West Melbourne (Residential),0,,0,0,0,0,0,2258,0,0,0,0,0,0,64,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10148
2012,437,West Melbourne (Residential),0,395,0,0,,0,0,1613,0,0,1022,0,0,0,0,0,0,788,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,6338
2012,440,West Melbourne (Residential),0,3801,0,0,,0,0,,0,0,6892,0,0,0,5613,1275,0,4846,0,,,,0,0,0,0,,0,0,0,0,0,0,0,2630,,893,39262
2012,441,West Melbourne (Residential),,1010,0,0,,,0,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,,0,,23585
2012,443,West Melbourne (Residential),,1835,0,0,,0,0,0,0,0,,0,0,0,,0,0,,0,,,0,0,0,0,0,,0,0,0,0,0,0,0,1358,0,0,22805
2012,445,West Melbourne (Residential),0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24037
2012,508,Kensington,0,1099,0,0,0,0,0,947,0,,3230,0,0,0,,0,0,2367,0,,0,0,0,0,0,0,2274,0,0,0,0,0,0,,2326,,,20507
2012,510,Kensington,0,0,0,0,0,0,0,5436,0,0,0,0,0,0,0,0,0,3906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9342
2012,518,Kensington,0,0,0,0,0,0,0,2957,0,0,0,0,0,0,0,0,0,2943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5900
2012,521,Kensington,0,,0,0,0,0,0,9935,0,0,0,0,0,0,0,0,0,7479,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17645
2012,522,Kensington,0,0,0,,0,0,0,6631,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11484
2012,524,Kensington,0,,0,0,,0,1108,5222,0,0,,0,0,0,0,0,,6468,0,0,0,821,0,0,0,0,,0,0,0,0,0,0,0,,0,0,15476
2012,525,Kensington,0,0,0,0,,,0,5321,0,0,0,0,0,0,0,0,0,4229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10735
2012,526,Kensington,0,,0,0,0,0,0,8831,0,0,0,0,0,0,0,0,,8749,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19123
2012,529,Kensington,0,0,0,0,0,0,0,8067,0,0,0,,0,0,0,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,10098
2012,530,Kensington,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4418
2012,532,Kensington,0,0,0,0,0,0,0,10078,0,0,0,0,0,0,0,0,0,9107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19185
2012,533,Kensington,0,,0,0,0,0,0,7649,0,0,0,0,0,0,,0,0,8649,0,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18587
2012,540,Kensington,0,0,0,0,0,0,0,5599,0,0,0,,0,0,0,0,0,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,7796
2012,541,Kensington,0,0,0,0,0,0,0,9371,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,12956
