,block_id,retail,business,leisure,education,healthcare,manufacture,public_service,farming,residence,non_residential
284,442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
285,501,0.0,19430.0,0.0,0.0,0.0,0.0,2365.0,0,26169.0,21795.0
286,504,0.0,4097.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4097.0
287,511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10002.0,0.0
288,512,0.0,0.0,0.0,0.0,0.0,0.0,1795.0,0,961.0,1795.0
289,513,0.0,0.0,0.0,0.0,0.0,0.0,1281.0,0,13299.0,1281.0
290,515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4029.0,0.0
291,519,0.0,0.0,0.0,0.0,0.0,0.0,3336.0,0,0.0,3336.0
292,523,0.0,0.0,0.0,0.0,496.0,0.0,0.0,0,15105.0,496.0
293,534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
294,535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21208.0,0.0
295,536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4972.0,0.0
296,537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
297,539,0.0,0.0,0.0,0.0,0.0,0.0,9350.0,0,23719.0,9350.0
298,542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
299,547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14728.0,0.0
300,549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
301,551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5064.0,0.0
302,564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6606.0,0.0
303,566,0.0,0.0,0.0,0.0,0.0,0.0,1742.0,0,6431.0,1742.0
304,567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6221.0,0.0
