node_id,longitude,latitude,geometry
11755623743,145.0476866,-37.6168025,POINT (145.0476866 -37.6168025)
11755623746,145.0476125,-37.6143898,POINT (145.0476125 -37.6143898)
11755637285,145.0029831,-37.6076475,POINT (145.0029831 -37.6076475)
11755637286,145.0021735,-37.6075631,POINT (145.0021735 -37.6075631)
11755637287,145.0018748,-37.6065374,POINT (145.0018748 -37.6065374)
11755637288,145.0023352,-37.6065317,POINT (145.0023352 -37.6065317)
11755637291,145.0031504,-37.6066115,POINT (145.0031504 -37.6066115)
11755637292,145.0030381,-37.6073208,POINT (145.0030381 -37.6073208)
11755639669,145.0475311,-37.617305,POINT (145.0475311 -37.617305)
11755639674,145.0471172,-37.6172637,POINT (145.0471172 -37.6172637)
11755639676,145.036801,-37.6164079,POINT (145.036801 -37.6164079)
11755760947,144.8859228,-37.5552621,POINT (144.8859228 -37.5552621)
11755760949,144.8860222,-37.5546997,POINT (144.8860222 -37.5546997)
11755760951,144.8852767,-37.5546184,POINT (144.8852767 -37.5546184)
11755760952,144.8849448,-37.5562523,POINT (144.8849448 -37.5562523)
11755810507,144.8845279,-37.5660177,POINT (144.8845279 -37.5660177)
11755810510,144.8852596,-37.5666659,POINT (144.8852596 -37.5666659)
11755810512,144.8845451,-37.5704249,POINT (144.8845451 -37.5704249)
11755810553,144.8900719,-37.5659408,POINT (144.8900719 -37.5659408)
11755810554,144.88958,-37.5658647,POINT (144.88958 -37.5658647)
11755810555,144.8849835,-37.5652789,POINT (144.8849835 -37.5652789)
11755810562,144.8864926,-37.5654712,POINT (144.8864926 -37.5654712)
11755810563,144.8860975,-37.5633148,POINT (144.8860975 -37.5633148)
11755810564,144.8856777,-37.5653673,POINT (144.8856777 -37.5653673)
11755815673,144.8877388,-37.5633678,POINT (144.8877388 -37.5633678)
11755815674,144.8872897,-37.5655728,POINT (144.8872897 -37.5655728)
11755815676,144.8897277,-37.5651492,POINT (144.8897277 -37.5651492)
11755815682,144.8880794,-37.5656734,POINT (144.8880794 -37.5656734)
11755815683,144.8888506,-37.5657717,POINT (144.8888506 -37.5657717)
11755815684,144.8892742,-37.5637048,POINT (144.8892742 -37.5637048)
11755815685,144.888999,-37.5650476,POINT (144.888999 -37.5650476)
11755815686,144.8883638,-37.5681665,POINT (144.8883638 -37.5681665)
11755815687,144.8890818,-37.5682651,POINT (144.8890818 -37.5682651)
11755815688,144.8850598,-37.566315,POINT (144.8850598 -37.566315)
11755815691,144.8894622,-37.5664321,POINT (144.8894622 -37.5664321)
11755815693,144.8893471,-37.5669871,POINT (144.8893471 -37.5669871)
11755815708,144.8847789,-37.5692843,POINT (144.8847789 -37.5692843)
11755815710,144.8868824,-37.5694023,POINT (144.8868824 -37.5694023)
11755815712,144.8870447,-37.5666879,POINT (144.8870447 -37.5666879)
11755815713,144.8849098,-37.5686304,POINT (144.8849098 -37.5686304)
11755815715,144.8866496,-37.5687691,POINT (144.8866496 -37.5687691)
11755815716,144.885817,-37.5687461,POINT (144.885817 -37.5687461)
11755815717,144.8862689,-37.5665871,POINT (144.8862689 -37.5665871)
11755815718,144.8876351,-37.569223,POINT (144.8876351 -37.569223)
11755815720,144.887806,-37.5667868,POINT (144.887806 -37.5667868)
11755815721,144.8884248,-37.5690348,POINT (144.8884248 -37.5690348)
11755815723,144.8886226,-37.5668929,POINT (144.8886226 -37.5668929)
11755815725,144.8887115,-37.5702918,POINT (144.8887115 -37.5702918)
